10123	10090
10124	10090
10125	10090
10126	10090
10127	10090
10128	10090
10129	10090
10130	10090
10131	10090
10132	10090
10133	10090
10134	10090
10135	10090
10136	10090
10137	10090
10138	10090
10139	10090
10140	10090
10141	10090
10142	10090
10143	10090
10144	10090
10145	10090
10146	10090
10147	10090
10148	10090
10149	10090
10150	10090
10151	10090
10152	10090
10153	10090
10154	10090
10155	10090
10156	10090
10157	10090
10158	10090
10159	10090
10160	10090
10161	10090
10162	10090
10163	10090
10164	10090
10165	10090
10166	10090
10167	10090
10168	10090
10169	10090
10170	10090
10171	10090
10172	10090
10173	10090
10174	10090
10175	10090
10176	10090
10177	10090
10178	10090
10179	10090
10180	10090
10181	10090
10182	10090
10183	10090
10184	10090
10185	10090
10186	10090
10187	10090
10188	10090
10189	10090
10190	10090
10191	10090
10192	10090
10193	10090
10194	10090
10195	10090
10196	10090
10197	10090
10198	10090
10199	10090
10200	10090
10201	10090
10202	10090
10203	10090
10204	10090
10205	10090
10206	10090
10207	10090
10208	10090
10209	10090
10210	10090
10211	10090
10212	10090
10213	10090
10214	10090
10215	10090
10216	10090
10217	10090
10218	10090
10219	10090
10220	10090
10221	10090
10222	10090
10223	10090
10224	10090
10225	10090
10226	10090
10227	10090
10228	10090
10229	10090
10230	10090
10231	10090
10232	10090
10233	10090
10234	10090
10235	10090
10236	10090
10237	10090
10238	10090
10239	10090
10240	10090
10241	10090
10242	10090
10243	10090
10244	10090
10245	10090
10246	10090
10247	10090
10248	10090
10249	10090
10250	10090
10251	10090
10252	10090
10253	10090
10254	10090
10255	10090
10256	10090
10257	10090
10258	10090
10259	10090
10260	10090
10261	10090
10262	10090
10263	10090
10264	10090
10265	10090
10266	10090
10267	10090
10268	10090
10269	10090
10270	10090
10271	10090
10272	10090
10273	10090
10274	10090
10275	10090
10276	10090
10277	10090
10278	10090
10279	10090
10280	10090
10281	10090
10282	10090
10283	10090
10284	10090
10285	10090
10286	10090
10287	10090
10288	10090
10289	10090
10290	10090
10291	10090
10292	10090
10293	10090
10294	10090
10295	10090
10296	10090
10297	10090
10298	10090
10299	10090
10300	10090
10301	10090
10302	10090
10303	10090
10304	10090
10305	10090
10306	10090
10307	10090
10308	10090
10309	10090
10310	10090
10311	10090
10312	10090
10313	10090
10314	10090
10315	10090
10316	10090
10317	10090
10318	10090
10319	10090
10320	10090
10321	10090
10322	10090
10323	10090
10324	10090
10325	10090
10326	10090
10327	10090
10328	10090
10329	10090
10330	10090
